Series,Variable,Scenarios,Unit,2020,2025,2030,2035,2040,2045,2050
Primary energy,Nuclear,Low Demand,EJ/yr,0.1711,0.1568,0.3299,0.5369,0.8137,0.7619,0.7082
Primary energy,Nuclear,Nationally Determined Contributions (NDCs),EJ/yr,0.1739,0.1582,0.1528,0.1427,0.1133,0.093,0.067
Primary energy,Nuclear,Net Zero 2050 (Orderly scenario),EJ/yr,0.1723,0.1562,0.3702,0.6362,0.9215,1.3048,1.817
Primary energy,Nuclear,Below 2°C,EJ/yr,0.2471,0.5448,1.1004,1.8474,2.2802,2.5116,2.6183
Primary energy,Nuclear,Current Policies (Hot house world scenario),EJ/yr,0.2471,0.5476,1.1044,1.8474,2.3466,2.6631,2.8391
Primary energy,Nuclear,Delayed Transition (Disorderly scenario),EJ/yr,0.2471,0.5476,1.1044,1.8474,2.3036,2.5598,2.6804
Primary energy,Nuclear,Fragmented World,EJ/yr,0.2471,0.5476,1.1044,1.8474,2.3513,2.6705,2.8462
Primary energy,Nuclear,Low Demand,EJ/yr,0.2471,0.5428,1.1039,1.8474,2.2413,2.4353,2.5158
Primary energy,Nuclear,Nationally Determined Contributions (NDCs),EJ/yr,0.2471,0.5471,1.1043,1.8474,2.2724,2.4905,2.5833
Primary energy,Nuclear,Net Zero 2050 (Orderly scenario),EJ/yr,0.2471,0.5489,1.1155,1.8474,2.323,2.5783,2.6978
Primary energy,Oil,Below 2°C,EJ/yr,11.0011,14.3824,14.7345,14.9204,14.4016,12.8442,10.7018
Primary energy,Oil,Current Policies (Hot house world scenario),EJ/yr,11.0011,13.6213,15.8825,16.8563,17.3966,17.8696,18.429
Primary energy,Oil,Delayed Transition (Disorderly scenario),EJ/yr,11.0021,13.6241,15.8837,15.3266,15.2353,14.5934,12.7487
Primary energy,Oil,Fragmented World,EJ/yr,11.0011,13.621,15.8819,16.5088,16.0269,15.8727,15.3948
Primary energy,Oil,Low Demand,EJ/yr,11.0011,13.8401,13.5353,13.7746,12.768,9.8603,7.7642
Primary energy,Oil,Nationally Determined Contributions (NDCs),EJ/yr,11.0011,13.87,16.3856,16.9787,17.4461,17.9602,18.3433
Primary energy,Oil,Net Zero 2050 (Orderly scenario),EJ/yr,11.0011,14.2927,14.3032,13.5978,11.3819,8.523,6.7527
Primary energy,Oil,Below 2°C,EJ/yr,10.9105,13.463,14.4765,15.053,15.6488,13.6747,10.5625
Primary energy,Oil,Current Policies (Hot house world scenario),EJ/yr,11.0214,12.0472,11.7136,13.8079,15.5678,17.6948,18.7322
Primary energy,Oil,Delayed Transition (Disorderly scenario),EJ/yr,11.022,12.0576,11.7268,12.0647,11.3585,8.1051,5.2304
Primary energy,Oil,Fragmented World,EJ/yr,10.9684,11.9202,11.5555,14.611,16.0166,16.1863,15.1758
Primary energy,Oil,Low Demand,EJ/yr,10.8443,13.368,12.7873,9.9777,7.8563,4.6441,2.84
Primary energy,Oil,Nationally Determined Contributions (NDCs),EJ/yr,11.018,13.6865,15.0039,17.0631,18.5593,19.7652,20.8498
Primary energy,Oil,Net Zero 2050 (Orderly scenario),EJ/yr,10.9527,13.5332,10.0508,6.7219,4.6201,2.7357,2.133
Primary energy,Oil,Below 2°C,EJ/yr,13.4651,17.526,21.029,22.0363,21.2607,19.3437,17.0107
Primary energy,Oil,Current Policies (Hot house world scenario),EJ/yr,13.4651,17.0659,20.5655,22.5414,22.8679,21.2212,18.7608
Primary energy,Oil,Delayed Transition (Disorderly scenario),EJ/yr,13.4651,17.0659,20.5655,21.6207,20.0664,18.0495,14.7609
Primary energy,Oil,Fragmented World,EJ/yr,13.4651,17.0659,20.5655,23.315,22.6599,20.7306,16.7567
Primary energy,Oil,Low Demand,EJ/yr,13.4651,16.4555,16.8782,16.3947,14.8508,12.095,8.5477
Primary energy,Oil,Nationally Determined Contributions (NDCs),EJ/yr,13.4651,17.0095,20.1129,22.4594,23.8737,24.1024,23.0342
Primary energy,Oil,Net Zero 2050 (Orderly scenario),EJ/yr,13.4651,16.7747,19.2519,19.0356,17.4221,13.0844,7.4236
Carbon price,Price: Carbon,Below 2°C,US$2010/t CO2,0,0,87.5236,129.3649,174.4283,257.1045,390.6429
Carbon price,Price: Carbon,Current Policies (Hot house world scenario),US$2010/t CO2,0,0,0,0,0,0,0
Carbon price,Price: Carbon,Delayed Transition (Disorderly scenario),US$2010/t CO2,0,0,0,81.0527,129.2859,180.533,278.7383
Carbon price,Price: Carbon,Fragmented World,US$2010/t CO2,0,0.0058,0,31.5941,88.6097,126.5259,167.749
Carbon price,Price: Carbon,Low Demand,US$2010/t CO2,0,0,81.8245,136.5734,207.3284,385.385,585.3953
Carbon price,Price: Carbon,Nationally Determined Contributions (NDCs),US$2010/t CO2,0,0,0,8.265,12.578,19.7796,30.059
Carbon price,Price: Carbon,Net Zero 2050 (Orderly scenario),US$2010/t CO2,0,0,125.9752,194.3443,301.5165,556.9474,816.7364
Carbon price,Price: Carbon,Below 2°C,US$2010/t CO2,0,0,42.2876,56.6025,73.6487,93.2858,114.0307
Carbon price,Price: Carbon,Current Policies (Hot house world scenario),US$2010/t CO2,0,0,0,2.1579,4.3159,6.4738,8.6317
Carbon price,Price: Carbon,Delayed Transition (Disorderly scenario),US$2010/t CO2,0,0,0,79.0991,95.4954,128.4225,157.5344
Carbon price,Price: Carbon,Fragmented World,US$2010/t CO2,0,0,0,22.9723,35.7635,56.18,85.6236
Carbon price,Price: Carbon,Low Demand,US$2010/t CO2,0,0,217.2788,267.6267,340.7935,453.9782,544.7084
Carbon price,Price: Carbon,Nationally Determined Contributions (NDCs),US$2010/t CO2,0,0,0,7.9757,15.9515,23.9272,31.9029
Carbon price,Price: Carbon,Net Zero 2050 (Orderly scenario),US$2010/t CO2,0,0,689.8968,691.1356,808.4434,1046.3668,1275.5484
Carbon price,Price: Carbon,Below 2°C,US$2010/t CO2,1.1077,10.1555,17.0065,29.925,51.5093,84.3593,131.0753
Carbon price,Price: Carbon,Current Policies (Hot house world scenario),US$2010/t CO2,1.1077,1.4068,1.7532,2.1513,2.606,3.1228,3.7074
Carbon price,Price: Carbon,Delayed Transition (Disorderly scenario),US$2010/t CO2,1.1077,1.4068,1.7532,54.821,108.2585,184.5404,277.9518
Carbon price,Price: Carbon,Fragmented World,US$2010/t CO2,1.1077,1.4068,1.7532,28.8905,67.7311,119.4694,172.599
Carbon price,Price: Carbon,Low Demand,US$2010/t CO2,1.1077,24.153,40.4454,71.1684,122.4999,200.6221,311.7146
Carbon price,Price: Carbon,Nationally Determined Contributions (NDCs),US$2010/t CO2,1.1077,15.4408,29.7748,32.3424,35.1279,38.1518,41.4329
Carbon price,Price: Carbon,Net Zero 2050 (Orderly scenario),US$2010/t CO2,1.1077,40.7891,68.3037,120.1846,206.8756,338.8143,526.4279
Energy prices,Price: Coal,Below 2°C,US$2010/GJ,1.9534,2.1323,2.2314,2.2207,2.1528,2.4531,2.7692
Energy prices,Price: Coal,Current Policies (Hot house world scenario),US$2010/GJ,1.9534,2.0695,2.1945,2.272,2.3157,2.3578,2.3824
Energy prices,Price: Coal,Delayed Transition (Disorderly scenario),US$2010/GJ,1.9534,2.0695,2.1945,2.3766,2.2962,2.2863,2.7396
Energy prices,Price: Coal,Fragmented World,US$2010/GJ,1.9534,2.0695,2.1944,2.2717,2.2151,2.2376,2.1755
Energy prices,Price: Coal,Low Demand,US$2010/GJ,1.9534,2.11,2.1463,2.0924,2.1343,2.8321,3.2921
Energy prices,Price: Coal,Nationally Determined Contributions (NDCs),US$2010/GJ,1.9534,2.0356,2.1043,2.1974,2.2266,2.2528,2.2543
Energy prices,Price: Coal,Net Zero 2050 (Orderly scenario),US$2010/GJ,1.9534,2.1276,2.0813,2.0926,2.5818,3.2599,3.8082
Energy prices,Price: Coal,Below 2°C,US$2010/GJ,2.6053,2.5016,1.3406,1.8151,2.4009,1.6586,2.6432
Energy prices,Price: Coal,Current Policies (Hot house world scenario),US$2010/GJ,2.6053,2.5167,2.2964,2.4713,2.7042,2.2857,2.4873
Energy prices,Price: Coal,Delayed Transition (Disorderly scenario),US$2010/GJ,2.6053,2.5167,2.2964,2.1439,1.5619,2.1686,3.5043
Energy prices,Price: Coal,Fragmented World,US$2010/GJ,2.6053,2.5167,2.2964,2.0829,2.3025,2.2812,2.5424
Energy prices,Price: Coal,Low Demand,US$2010/GJ,2.6053,2.5016,-7.3743,1.1966,4.5524,4.7466,6.3019
Energy prices,Price: Coal,Nationally Determined Contributions (NDCs),US$2010/GJ,2.6053,2.5016,2.2883,2.2909,2.0211,2.0156,2.1714
Energy prices,Price: Coal,Net Zero 2050 (Orderly scenario),US$2010/GJ,2.6053,2.5016,-24.6789,3.6363,7.2128,9.118,10.4336
Energy prices,Price: Coal,Below 2°C,US$2010/GJ,2.0344,2.161,1.7827,1.6152,1.4186,1.4234,1.4937
Energy prices,Price: Coal,Current Policies (Hot house world scenario),US$2010/GJ,2.0344,2.2228,2.2627,2.307,2.3841,2.4996,2.7928
Energy prices,Price: Coal,Delayed Transition (Disorderly scenario),US$2010/GJ,2.0344,2.2228,2.2627,2.2998,1.8855,1.4268,1.4782
Energy prices,Price: Coal,Fragmented World,US$2010/GJ,2.0344,2.2228,2.2627,2.2464,2.1067,2.0358,2.4772
Energy prices,Price: Coal,Low Demand,US$2010/GJ,2.0344,2.3285,1.6288,1.2207,1.2602,1.1936,1.557
Energy prices,Price: Coal,Nationally Determined Contributions (NDCs),US$2010/GJ,2.0344,2.1324,2.088,2.0799,1.9486,1.8346,1.9253
Energy prices,Price: Coal,Net Zero 2050 (Orderly scenario),US$2010/GJ,2.0344,2.6167,1.7773,1.444,1.3735,1.4422,1.7394
Energy prices,Price: Gas,Below 2°C,US$2010/GJ,5.6928,6.0409,6.2669,6.4309,6.5969,6.9229,7.5298
Energy prices,Price: Gas,Current Policies (Hot house world scenario),US$2010/GJ,5.6928,5.8286,5.7064,5.6613,5.7061,5.6741,5.6778
Energy prices,Price: Gas,Delayed Transition (Disorderly scenario),US$2010/GJ,5.6926,5.8286,5.7064,6.1165,6.367,6.5974,7.1535
Energy prices,Price: Gas,Fragmented World,US$2010/GJ,5.6928,5.8286,5.7064,5.7608,5.9375,5.9608,5.9479
Energy prices,Price: Gas,Low Demand,US$2010/GJ,5.6928,5.9429,6.1699,6.4289,6.7587,7.6203,8.4698
Energy prices,Price: Gas,Nationally Determined Contributions (NDCs),US$2010/GJ,5.6928,5.8346,5.7052,5.6585,5.6844,5.6126,5.5583
Energy prices,Price: Gas,Net Zero 2050 (Orderly scenario),US$2010/GJ,5.6928,6.0703,6.5629,6.9203,7.4704,8.7686,9.6776
Energy prices,Price: Gas,Below 2°C,US$2010/GJ,3.7279,4.2724,5.5409,6.4099,6.9373,6.4146,7.2782
Energy prices,Price: Gas,Current Policies (Hot house world scenario),US$2010/GJ,3.7279,4.34,4.2757,5.3258,6.0096,6.723,7.2536
Energy prices,Price: Gas,Delayed Transition (Disorderly scenario),US$2010/GJ,3.7279,4.34,4.2757,7.911,7.1111,5.5458,6.5487
Energy prices,Price: Gas,Fragmented World,US$2010/GJ,3.7279,4.34,4.2757,6.2277,6.6028,7.4636,7.3907
Energy prices,Price: Gas,Low Demand,US$2010/GJ,3.7279,4.2724,7.1164,0.6697,5.2051,7.0088,5.0749
Energy prices,Price: Gas,Nationally Determined Contributions (NDCs),US$2010/GJ,3.7279,4.2724,4.2873,5.4878,6.5983,6.5564,7.0095
Energy prices,Price: Gas,Net Zero 2050 (Orderly scenario),US$2010/GJ,3.7279,4.2724,16.7576,-4.0064,5.3091,3.7465,11.093
Energy prices,Price: Gas,Below 2°C,US$2010/GJ,3.9711,4.5987,4.4679,5.2041,5.1447,4.8653,4.9049
Energy prices,Price: Gas,Current Policies (Hot house world scenario),US$2010/GJ,3.9711,4.6647,4.6303,5.0297,5.2841,5.5602,5.7592
Energy prices,Price: Gas,Delayed Transition (Disorderly scenario),US$2010/GJ,3.9711,4.6647,4.6303,5.7319,5.3499,4.7767,4.1935
Energy prices,Price: Gas,Fragmented World,US$2010/GJ,3.9711,4.6647,4.6303,4.854,5.2447,5.5672,5.6393
Energy prices,Price: Gas,Low Demand,US$2010/GJ,3.9711,4.6568,4.3352,5.2357,4.7106,4.1262,4.1033
Energy prices,Price: Gas,Nationally Determined Contributions (NDCs),US$2010/GJ,3.9711,4.541,4.3304,4.7696,5.0737,5.4085,5.3735
Energy prices,Price: Gas,Net Zero 2050 (Orderly scenario),US$2010/GJ,3.9711,5.1474,5.5306,5.9206,5.9116,4.9651,4.4127
Energy prices,Price: Oil,Below 2°C,US$2010/GJ,15.0283,15.2952,15.5513,15.6088,15.5175,15.3907,15.1984
Energy prices,Price: Oil,Current Policies (Hot house world scenario),US$2010/GJ,15.0283,14.9896,15.046,15.0241,15.0346,14.9154,14.5241
Energy prices,Price: Oil,Delayed Transition (Disorderly scenario),US$2010/GJ,15.0281,14.9897,15.0459,15.4391,15.455,15.15,14.766
Energy prices,Price: Oil,Fragmented World,US$2010/GJ,15.0283,14.9895,15.046,15.1661,15.1323,14.9917,14.3752
Energy prices,Price: Oil,Low Demand,US$2010/GJ,15.0283,15.0288,15.0624,15.0254,15.0814,15.7592,15.8359
Energy prices,Price: Oil,Nationally Determined Contributions (NDCs),US$2010/GJ,15.0283,15.0073,15.0416,14.9993,15.0351,14.9488,14.5956
Energy prices,Price: Oil,Net Zero 2050 (Orderly scenario),US$2010/GJ,15.0283,15.329,15.786,15.9207,16.1702,17.3781,17.5482
Energy prices,Price: Oil,Below 2°C,US$2010/GJ,2.5589,3.6745,3.6179,4.0568,4.0954,4.5143,4.8236
Energy prices,Price: Oil,Current Policies (Hot house world scenario),US$2010/GJ,2.5589,3.6772,3.9971,4.3765,4.7144,5.0861,5.385
Energy prices,Price: Oil,Delayed Transition (Disorderly scenario),US$2010/GJ,2.5589,3.6772,3.9971,4.2235,4.0805,4.7634,4.3801
Energy prices,Price: Oil,Fragmented World,US$2010/GJ,2.5589,3.6772,3.9971,4.4388,4.3895,4.8662,5.7964
Energy prices,Price: Oil,Low Demand,US$2010/GJ,2.5589,3.6745,3.2217,3.8138,4.5752,7.2462,2.6796
Energy prices,Price: Oil,Nationally Determined Contributions (NDCs),US$2010/GJ,2.5589,3.6745,4.011,4.3389,4.4139,4.8986,5.395
Energy prices,Price: Oil,Net Zero 2050 (Orderly scenario),US$2010/GJ,2.5589,3.6745,5.2774,4.9289,9.5201,3.5549,5.1707
Energy prices,Price: Oil,Below 2°C,US$2010/GJ,11.1918,12.3944,13.1936,13.1533,14.3813,15.7881,17.0372
Energy prices,Price: Oil,Current Policies (Hot house world scenario),US$2010/GJ,11.1918,12.923,13.7395,14.0862,15.7503,17.553,19.4513
Energy prices,Price: Oil,Delayed Transition (Disorderly scenario),US$2010/GJ,11.1918,12.923,13.7395,13.6337,14.3796,15.898,17.1657
Energy prices,Price: Oil,Fragmented World,US$2010/GJ,11.1918,12.923,13.7395,13.8446,15.3055,17.0406,18.6781
Energy prices,Price: Oil,Low Demand,US$2010/GJ,11.1918,11.7366,11.065,11.3465,12.1038,12.9514,13.7653
Energy prices,Price: Oil,Nationally Determined Contributions (NDCs),US$2010/GJ,11.1918,12.8033,13.4785,13.705,15.3123,17.1199,18.7941
Energy prices,Price: Oil,Net Zero 2050 (Orderly scenario),US$2010/GJ,11.1918,12.1243,12.6335,12.2863,12.9663,13.827,14.5051
Primary energy,Solar,Below 2°C,EJ/yr,1.332,5.0219,7.8039,10.8845,13.2117,14.7644,15.7861
Primary energy,Solar,Current Policies (Hot house world scenario),EJ/yr,1.332,4.5544,5.6495,6.4514,7.0425,7.3992,7.5154
Primary energy,Solar,Delayed Transition (Disorderly scenario),EJ/yr,1.3272,4.547,5.6421,8.4123,11.3516,13.5275,15.0446
Primary energy,Solar,Fragmented World,EJ/yr,1.332,4.5545,5.6495,7.3088,9.764,11.7814,13.2363
Primary energy,Solar,Low Demand,EJ/yr,1.332,4.3984,6.2669,9.4274,12.0502,13.9138,14.8966
Primary energy,Solar,Nationally Determined Contributions (NDCs),EJ/yr,1.332,4.7533,5.9543,6.9526,7.6701,8.3468,8.8307
Primary energy,Solar,Net Zero 2050 (Orderly scenario),EJ/yr,1.332,5.1218,9.0738,12.7555,15.0872,16.7934,17.9253
Primary energy,Solar,Below 2°C,EJ/yr,1.5179,3.0641,5.6664,7.6855,7.7393,8.3582,8.9315
Primary energy,Solar,Current Policies (Hot house world scenario),EJ/yr,1.4915,3.1863,3.8561,4.8184,4.8208,4.8296,4.9812
Primary energy,Solar,Delayed Transition (Disorderly scenario),EJ/yr,1.4904,3.1796,3.8432,6.2715,8.6272,9.6835,9.9773
Primary energy,Solar,Fragmented World,EJ/yr,1.5152,3.1749,3.8167,5.5114,7.2962,7.5226,7.8888
Primary energy,Solar,Low Demand,EJ/yr,1.5065,3.1059,6.1765,10.4532,11.2589,10.4474,9.6146
Primary energy,Solar,Nationally Determined Contributions (NDCs),EJ/yr,1.516,3.0558,4.1035,4.7908,5.1946,6.3909,6.7126
Primary energy,Solar,Net Zero 2050 (Orderly scenario),EJ/yr,1.5191,3.0743,6.8113,10.3969,10.2904,10.5218,10.3984
Primary energy,Solar,Below 2°C,EJ/yr,1.2425,5.3849,11.643,16.5082,19.2549,20.4929,20.8983
Primary energy,Solar,Current Policies (Hot house world scenario),EJ/yr,1.2425,4.8114,8.8567,11.337,12.9694,13.9529,14.4147
Primary energy,Solar,Delayed Transition (Disorderly scenario),EJ/yr,1.2425,4.8114,8.8567,12.4828,16.5711,19.7279,21.531
Primary energy,Solar,Fragmented World,EJ/yr,1.2425,4.8114,8.8567,11.2122,13.8927,16.6949,19.1316
Primary energy,Solar,Low Demand,EJ/yr,1.2425,4.6314,9.8284,12.7394,13.3595,13.1634,12.9005
Primary energy,Solar,Nationally Determined Contributions (NDCs),EJ/yr,1.2425,5.3758,11.507,15.9869,18.1436,18.7249,18.7829
Primary energy,Solar,Net Zero 2050 (Orderly scenario),EJ/yr,1.2425,5.8446,14.4073,18.9789,21.6783,22.9081,23.2936
Final energy,Solids,Below 2°C,EJ/yr,11.9915,11.5689,10.4312,9.4439,8.5745,7.5494,6.5048
Final energy,Solids,Current Policies (Hot house world scenario),EJ/yr,11.9915,11.2561,12.515,13.1146,13.7679,14.2548,14.5786
Final energy,Solids,Delayed Transition (Disorderly scenario),EJ/yr,11.996,11.2613,12.5206,10.5729,9.4299,8.4318,7.2419
Final energy,Solids,Fragmented World,EJ/yr,11.9915,11.2561,12.515,11.5645,10.4295,9.5398,8.5847
Final energy,Solids,Low Demand,EJ/yr,11.9915,11.7534,10.5404,9.1649,7.8478,6.323,5.2391
Final energy,Solids,Nationally Determined Contributions (NDCs),EJ/yr,11.9915,11.3765,12.4912,12.0895,12.2157,12.172,11.8376
Final energy,Solids,Net Zero 2050 (Orderly scenario),EJ/yr,11.9915,11.3215,9.6865,8.4403,7.1259,5.7249,4.8145
Final energy,Solids,Below 2°C,EJ/yr,14.42,15.8649,14.847,13.2371,11.8372,10.5564,9.4729
Final energy,Solids,Current Policies (Hot house world scenario),EJ/yr,14.5186,16.155,17.5925,17.8174,18.6444,17.2676,16.3312
Final energy,Solids,Delayed Transition (Disorderly scenario),EJ/yr,14.5373,16.191,17.6464,15.6756,13.663,11.8225,10.4926
Final energy,Solids,Fragmented World,EJ/yr,14.4693,16.1341,17.5932,15.8544,14.5498,12.3008,10.6343
Final energy,Solids,Low Demand,EJ/yr,14.4033,15.7988,5.7572,5.7266,5.4339,4.8722,4.3209
Final energy,Solids,Nationally Determined Contributions (NDCs),EJ/yr,14.427,15.8795,17.2634,16.7373,16.3877,14.5386,12.1879
Final energy,Solids,Net Zero 2050 (Orderly scenario),EJ/yr,14.3725,15.7691,15.6129,14.4035,13.335,11.4389,9.8665
Final energy,Solids,Below 2°C,EJ/yr,13.2246,13.5205,12.6938,11.4669,9.6441,7.3255,5.3794
Final energy,Solids,Current Policies (Hot house world scenario),EJ/yr,13.2246,13.5753,15.3542,17.3345,19.3778,20.6415,20.1483
Final energy,Solids,Delayed Transition (Disorderly scenario),EJ/yr,13.2246,13.5753,15.3542,16.8482,10.2168,4.9888,3.4776
Final energy,Solids,Fragmented World,EJ/yr,13.2246,13.5753,15.3542,17.1078,13.2339,10.4591,7.0695
Final energy,Solids,Low Demand,EJ/yr,13.2246,13.2305,8.8469,6.0413,4.0783,3.6435,2.9218
Final energy,Solids,Nationally Determined Contributions (NDCs),EJ/yr,13.2246,13.4759,12.6206,12.0875,11.7773,11.1463,10.2304
Final energy,Solids,Net Zero 2050 (Orderly scenario),EJ/yr,13.2246,13.3277,10.0351,7.526,4.4378,3.3424,2.6255
Emissions and CCS,Total non-CO2 emissions,Below 2°C,Mt CO2-equiv/yr,730.6103,960.8149,1001.8536,1078.703,1152.1983,1243.4811,1314.7174
Emissions and CCS,Total non-CO2 emissions,Current Policies (Hot house world scenario),Mt CO2-equiv/yr,730.6102,885.9632,1107.0278,1238.5109,1368.5361,1525.0028,1687.7653
Emissions and CCS,Total non-CO2 emissions,Delayed Transition (Disorderly scenario),Mt CO2-equiv/yr,730.5998,886.0071,1107.0825,1131.0519,1218.3663,1302.2331,1430.137
Emissions and CCS,Total non-CO2 emissions,Fragmented World,Mt CO2-equiv/yr,730.6101,885.9621,1107.0266,1144.8448,1213.1151,1298.0364,1336.8126
Emissions and CCS,Total non-CO2 emissions,Low Demand,Mt CO2-equiv/yr,730.6101,958.2432,985.0855,1045.8585,1127.1675,1222.0144,1273.7491
Emissions and CCS,Total non-CO2 emissions,Nationally Determined Contributions (NDCs),Mt CO2-equiv/yr,730.6101,889.9253,1105.4126,1188.5824,1292.5187,1415.4496,1542.2823
Emissions and CCS,Total non-CO2 emissions,Net Zero 2050 (Orderly scenario),Mt CO2-equiv/yr,730.6103,947.0895,967.7826,1039.6283,1147.5874,1226.2024,1273.5271
Emissions and CCS,Total non-CO2 emissions,Below 2°C,Mt CO2-equiv/yr,718.4123,825.1384,789.9997,809.2261,840.1078,855.6343,875.8009
Emissions and CCS,Total non-CO2 emissions,Current Policies (Hot house world scenario),Mt CO2-equiv/yr,718.4123,820.8751,920.898,998.6049,1097.8146,1160.0784,1225.2051
Emissions and CCS,Total non-CO2 emissions,Delayed Transition (Disorderly scenario),Mt CO2-equiv/yr,718.4123,820.8751,920.898,864.9668,871.4777,877.6934,878.6988
Emissions and CCS,Total non-CO2 emissions,Fragmented World,Mt CO2-equiv/yr,718.4123,820.8751,920.898,905.6887,927.743,918.1534,923.0051
Emissions and CCS,Total non-CO2 emissions,Low Demand,Mt CO2-equiv/yr,718.4123,825.1384,661.5374,666.1481,675.0309,694.2612,711.6555
Emissions and CCS,Total non-CO2 emissions,Nationally Determined Contributions (NDCs),Mt CO2-equiv/yr,718.4123,825.1384,926.9075,989.4221,1074.5747,1100.5335,1130.6322
Emissions and CCS,Total non-CO2 emissions,Net Zero 2050 (Orderly scenario),Mt CO2-equiv/yr,718.4123,825.1384,728.8388,721.2196,725.1595,724.1498,734.6338
Emissions and CCS,Total non-CO2 emissions,Below 2°C,Mt CO2-equiv/yr,955.7107,1186.6836,1374.385,1508.5336,1630.9944,1701.446,1694.0996
Emissions and CCS,Total non-CO2 emissions,Current Policies (Hot house world scenario),Mt CO2-equiv/yr,955.7107,1226.1234,1433.9554,1664.9201,1878.8204,2022.1491,2162.0401
Emissions and CCS,Total non-CO2 emissions,Delayed Transition (Disorderly scenario),Mt CO2-equiv/yr,955.7107,1226.1234,1433.9554,1487.8095,1590.0002,1655.8784,1638.7777
Emissions and CCS,Total non-CO2 emissions,Fragmented World,Mt CO2-equiv/yr,955.7107,1226.1234,1433.9554,1558.9724,1691.7093,1755.3482,1819.9318
Emissions and CCS,Total non-CO2 emissions,Low Demand,Mt CO2-equiv/yr,955.7107,1079.8831,1148.6005,1088.6208,1017.7882,894.4662,775.5043
Emissions and CCS,Total non-CO2 emissions,Nationally Determined Contributions (NDCs),Mt CO2-equiv/yr,955.7107,1177.7301,1373.8858,1595.6463,1799.8993,1958.8773,2082.383
Emissions and CCS,Total non-CO2 emissions,Net Zero 2050 (Orderly scenario),Mt CO2-equiv/yr,955.7107,1175.9529,1357.8133,1406.7409,1477.2438,1525.7723,1549.8192
Primary energy,Wind,Below 2°C,EJ/yr,0.8396,3.3179,5.1578,6.7837,8.2867,9.5312,10.6958
Primary energy,Wind,Current Policies (Hot house world scenario),EJ/yr,0.8396,2.84,3.8379,4.5783,5.1856,5.5389,5.6929
Primary energy,Wind,Delayed Transition (Disorderly scenario),EJ/yr,0.835,2.8341,3.8322,5.3885,7.1025,8.6342,9.9782
Primary energy,Wind,Fragmented World,EJ/yr,0.8396,2.8401,3.8379,4.8491,6.1545,7.4033,8.4986
Primary energy,Wind,Low Demand,EJ/yr,0.8396,2.879,4.2481,5.9518,7.7059,9.3821,10.5801
Primary energy,Wind,Nationally Determined Contributions (NDCs),EJ/yr,0.8396,3.0487,4.1367,5.1569,5.7793,6.0226,6.2195
Primary energy,Wind,Net Zero 2050 (Orderly scenario),EJ/yr,0.8396,3.3927,5.8372,7.9892,9.7755,11.6247,12.9023
Primary energy,Wind,Below 2°C,EJ/yr,0.9321,2.2032,4.3193,5.2558,4.6675,5.1412,6.1212
Primary energy,Wind,Current Policies (Hot house world scenario),EJ/yr,0.914,2.2728,2.1815,2.1834,1.7078,2.2126,2.2114
Primary energy,Wind,Delayed Transition (Disorderly scenario),EJ/yr,0.9134,2.2678,2.1742,3.9112,5.9772,8.1508,8.8727
Primary energy,Wind,Fragmented World,EJ/yr,0.9305,2.2702,2.164,3.4591,4.0329,4.2686,4.7096
Primary energy,Wind,Low Demand,EJ/yr,0.9245,2.2307,5.6406,9.093,9.6099,9.184,8.3633
Primary energy,Wind,Nationally Determined Contributions (NDCs),EJ/yr,0.9311,2.1973,2.2482,2.3125,2.2675,2.7714,3.3501
Primary energy,Wind,Net Zero 2050 (Orderly scenario),EJ/yr,0.9331,2.2107,5.9856,9.6765,10.823,11.1984,10.8988
Primary energy,Wind,Below 2°C,EJ/yr,0.6529,1.39,2.5497,4.1899,5.334,6.2103,6.8651
Primary energy,Wind,Current Policies (Hot house world scenario),EJ/yr,0.6529,1.3334,2.1996,3.2308,3.8262,4.3112,4.6309
Primary energy,Wind,Delayed Transition (Disorderly scenario),EJ/yr,0.6529,1.3334,2.1996,3.4529,4.6015,5.748,6.6017
Primary energy,Wind,Fragmented World,EJ/yr,0.6529,1.3334,2.1996,3.318,4.3306,5.4775,6.3607
Primary energy,Wind,Low Demand,EJ/yr,0.6529,1.2891,2.2293,3.3429,3.8394,4.1516,4.3713
Primary energy,Wind,Nationally Determined Contributions (NDCs),EJ/yr,0.6529,1.4098,2.5492,4.0534,4.9704,5.6572,6.1141
Primary energy,Wind,Net Zero 2050 (Orderly scenario),EJ/yr,0.6529,1.518,3.1602,5.2575,6.4921,7.3016,7.8983
